b	1213
c	739
d	1
e	288
f	112
g	192
h	147
j	26
k	133
l	184
m	70
n	84
p	393
q	526
r	68
s	13
t	20
u	298
v	176
w	31
x	3038
z	24
aa	13
ab	12
ac	1
ad	63
ae	15
af	93
ag	18
ai	28
aj	1
ak	6
al	150
am	1
an	2
ap	7
ar	31
as	6
au	61
av	7
aw	4
ax	2
ba	1
bb	8
bd	11
bh	7
bo	7
bp	14
bs	8
ca	32
cc	1
cd	49
ce	4
cf	183
ci	5
ck	1
cl	5
cm	41
cn	17
co	25
cp	13
cs	2
ct	392
cv	9
da	3
db	40
dc	4
de	106
dh	15
di	6
dj	1
dl	106
dm	19
do	1
dq	1
dr	16
dt	1
du	27
dv	1
dx	2
dy	11
ea	17
eb	18
ed	92
ei	6
el	1
em	2
en	8
ep	5
er	3
es	20
et	29
eu	1
ew	6
ex	1
fa	145
fe	7
fg	29
fh	24
fi	6
fl	8
fn	6
fu	3
ga	6
gb	2
gd	7
gh	97
gi	247
gl	2
gm	112
gn	6
go	1032
gy	6
hb	12
hd	102
he	3
hf	6
hg	6
hh	1
hi	1
hj	1
hk	2
hm	9
hp	83
hr	1
hs	3
ht	12
hv	1
ia	67
ib	52
ic	43
id	29
ie	90
ig	13
ii	730
ik	3
il	47
im	5
in	4
ip	7
iq	2
ir	2
iu	1
iv	476
ix	25
ja	6
jc	4
jd	6
jr	3
ka	4
kb	14
kd	1
kg	14
kl	5
ks	7
kt	5
kx	3
la	8
lb	2
lg	3
lh	4
li	42
lp	32
lu	4
lw	6
ma	11
mb	8
mc	22
md	106
mg	160
mk	2
ml	25
mm	11
mn	1
mo	1
mp	138
mr	2
mt	81
mw	6
mz	1
na	12
nc	3
nd	50
nf	76
ng	3
nh	6
nk	11
np	2
nr	16
nu	1
nv	1
nw	5
ny	2
nz	2
ob	2
oc	1
oh	37
oi	34
ok	4
ol	4
ot	2
ou	1
oz	6
pa	13
pb	28
pc	33
pd	80
pe	192
pg	4
ph	78
pi	27
pm	11
pr	20
pt	11
pu	53
pv	50
qa	2
qb	2
qc	1
qt	71
ra	70
rb	22
rd	25
rf	1
rg	11
rh	147
rn	2
ro	2
rp	17
rt	14
sa	23
sb	10
sc	7
sd	16
se	3
sg	2
sh	17
si	3
sj	1
sm	3
so	10
sp	26
sr	3
st	32
sw	6
sz	1
tb	171
tc	7
td	1
te	5
tg	2
th	258
ti	4
tk	23
tl	12
tm	1
tn	11
tp	24
tv	39
uc	6
ui	80
uk	5
un	2
us	1170
uv	58
ux	1
va	26
vb	4
vi	62
vq	3
vt	1
vx	1
wd	12
wt	23
xe	12
xi	18
xk	12
xl	4
xp	5
xq	2
xx	22
xy	11
zc	3
aaa	31
aag	2
aap	3
aas	4
aat	83
abc	11
abi	11
abl	2
aca	5
acb	1
acc	15
acd	42
ace	62
acl	2
acp	2
acr	1
act	193
acy	2
ada	14
add	91
adh	20
adn	1
ado	6
aec	13
aed	3
aff	16
afp	14
aga	3
age	2583
agl	4
ago	5
agt	2
ahf	4
ahi	1
aid	367
aim	157
aip	24
air	463
akt	10
ala	70
ald	16
ale	1
alg	42
alk	15
alp	23
alx	23
ama	3
amd	92
amh	8
aml	132
amn	8
amp	25
amt	4
ang	1
ank	9
ann	1
ano	17
ant	1
apc	25
apd	1
apl	4
apo	1
app	12
aps	71
apt	1
aqp	5
arb	27
arc	1
ard	5
arf	3
arg	4
arm	987
art	33
arx	31
asa	4
asd	17
ash	4
ask	511
asl	1
ass	2
asz	2
ata	1
ate	8
atg	2
atl	6
atm	17
atn	9
atp	130
atr	1
att	3
aud	3
auh	2
avm	27
avp	3
azf	2
bac	3
bad	90
bag	63
bar	16
bat	9
bbb	60
bbd	2
bcg	6
bcl	10
bcr	2
bcs	20
beb	5
bed	126
bee	3
ber	2
bgh	2
bhc	2
bhd	4
bid	1
big	68
bin	9
bit	18
blm	7
bmi	154
bmp	5
bnp	12
bod	5
boe	1
boo	2
bor	10
bos	12
bow	8
box	48
boy	130
bpd	37
bph	10
bpp	5
bra	2
btd	5
bte	2
btk	15
bud	14
bug	12
bui	1
bus	5
buy	34
caa	3
cad	3
caf	15
cag	67
cah	33
cam	10
can	3
cap	42
car	64
cat	79
cav	35
cbc	32
cbf	21
cbg	10
cbl	5
cbs	8
cbt	11
cca	2
ccd	4
ccg	4
ccm	12
cda	37
cdc	150
cdg	63
cdh	21
cdt	1
cea	7
ced	2
cep	5
cfa	1
cfc	4
cfh	3
cfi	2
cgg	13
cgh	3
chd	270
chi	5
chl	1
chm	6
chn	5
cis	2
cjd	156
ckd	165
cll	13
clm	4
cln	27
cmd	7
cml	35
cmm	2
cmp	1
cmt	53
cmv	35
cns	186
cnv	4
coa	163
cod	2
cog	13
coh	3
col	214
com	2
con	20
cop	5
cor	12
cow	37
cox	16
cpa	2
cpk	1
cpm	2
cpr	9
cps	3
cpt	45
crb	1
crf	3
crh	17
cri	27
crp	29
crt	3
crx	2
cry	73
csa	2
csb	2
csd	3
csf	89
csl	1
cst	7
cta	4
ctc	7
ctl	1
cue	1
cul	7
cup	66
cut	224
cvd	9
cvm	1
cyb	10
cyp	66
dad	1
dam	4
dax	6
day	1331
dbh	3
dbt	1
dcc	5
dci	6
dcn	2
dcx	8
ddc	4
ddx	3
deb	4
dec	19
del	2
den	8
der	18
dha	3
dhd	21
dhh	6
dht	14
dic	48
die	313
dig	3
dim	7
din	4
dip	1
dkc	5
dlb	17
dld	15
dll	8
dmc	5
dmd	35
dmp	1
dmt	8
dna	745
dnm	11
dnr	2
doa	9
doc	5
dog	62
doh	1
dok	1
dos	220
dot	23
dpb	6
dpd	11
dpl	12
dpp	39
dpr	9
dpy	7
dqa	8
dqb	14
dra	1
drb	14
drd	23
dre	2
dry	504
dsc	3
dsg	8
dsp	3
dub	9
due	1012
dup	1
dux	10
dvd	2
dvl	4
dvt	51
dxa	3
dye	355
dym	1
dyt	5
ear	1355
eas	2
eat	519
eba	10
ebp	5
ebv	22
ecg	3
ecm	1
eda	26
edn	5
eec	27
eeg	110
egd	1
egg	361
egr	4
eia	4
eif	31
ekg	168
elk	2
eln	12
emd	7
emf	5
emg	77
eml	1
emx	3
end	458
eng	3
eno	5
ent	6
eog	2
epa	5
epb	2
epg	1
epm	9
epo	40
epp	1
eps	2
epx	3
erb	1
erg	1
ert	5
esr	4
etc	4
eto	1
etv	8
evc	18
ext	20
eya	11
eye	3378
ezh	4
fad	2
fah	4
fam	12
fan	1
fap	3
faq	12
far	83
fat	1313
fax	3
fbn	28
fbs	1
fda	55
fdg	1
fdh	1
feb	1
fed	18
fee	9
fet	2
ffa	6
ffi	6
ffs	2
fga	2
fgb	2
fgd	6
fge	5
fgf	24
fgg	2
fgs	1
fhl	3
fhm	12
fib	3
fig	4
fip	5
fit	115
fix	30
flc	10
flg	8
fli	17
flt	11
flu	216
fly	30
fmd	15
fmf	17
fmo	5
fmr	38
fna	2
fod	3
fog	5
fop	6
fox	12
fpg	6
fro	3
fry	6
fsh	6
ftd	15
ftl	7
fun	15
fur	3
fus	3
fxn	7
fxs	4
fzd	6
gaa	22
gad	21
gae	2
gag	33
gal	2
gan	16
gap	76
gar	6
gas	285
gay	1
gba	6
gbe	15
gbm	6
gch	13
gdf	21
gdp	1
gel	49
ger	2
get	2053
gfr	20
ghb	2
ghr	8
gja	9
gjb	32
gla	7
glb	13
glc	2
gli	26
gly	1
gna	3
gne	11
gns	3
goo	1
got	33
gov	50
gpa	18
gpc	6
gpi	23
gpr	8
gps	4
grm	1
grn	14
gsd	63
gsn	2
gss	15
gtd	15
gtf	14
gtn	5
gtp	12
gtr	41
gum	258
gun	11
gut	11
gym	1
hae	5
hal	2
ham	12
hat	15
hav	3
haw	3
hax	1
hay	19
hba	33
hbb	26
hbe	1
hbh	10
hbp	2
hbv	5
hcg	15
hcl	1
hcm	12
hcn	2
hcu	6
hcv	1
hdl	204
hdv	1
hed	2
hem	12
hev	2
hex	1
hfa	3
hfe	32
hfi	10
hfm	3
hga	19
hgd	3
hgf	3
hgh	94
hhs	28
hht	5
hhv	7
hib	9
hic	1
hid	11
hif	6
hil	3
hip	448
hit	12
hiv	207
hla	141
hlh	23
hmd	2
hme	6
hmg	10
hmh	2
hmo	9
hmt	1
hop	1
hot	154
hox	1
hpa	1
hpd	4
hpo	1
hpp	14
hpv	82
hrt	30
hsd	29
hsn	22
hsp	50
hsv	5
htm	2
htr	3
htt	21
hug	1
hus	19
huv	6
hva	1
ibc	5
ibd	41
ibm	11
ibs	77
icc	1
icd	18
ice	44
icf	2
ich	1
icl	1
icp	6
icy	5
idd	3
idh	15
iel	5
iep	3
ifa	4
ifg	2
ift	23
iga	81
igd	12
ige	26
igf	36
igg	53
igm	71
igt	2
ihc	1
ihs	1
iia	53
iib	58
iic	22
iid	1
iie	8
iif	1
iih	1
iii	520
iix	2
ijt	9
ijv	1
ikk	1
ild	1
ill	61
imt	4
inc	16
ine	1
inh	2
ink	1
iol	5
iom	2
ion	159
